Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3
ambrisentán,incógnita,"La teratogenicidad es un efecto de clase de estos agentes, que induce múltiples anomalías fetales en estudios con animales. Es probable que estos fármacos causen defectos congénitos importantes si se utilizan durante el embarazo.",Sistema cardiovascular,Antagonista del receptor de endotelina,
ametocaína (tetracaína),B2,,Medicamentos oftálmicos,,
amifampridina,do,"No se han realizado estudios en animales para evaluar los posibles efectos adversos de la amifampridina en el desarrollo embriofetal. Sin embargo, la amifampridina puede bloquear los canales de potasio, que también contribuyen a la función normal del músculo liso uterino durante la gestación y el parto.",Sistema nervioso central,,
amifostina,B3,,Agentes antineoplásicos,Terapia de apoyo no citotóxica,
amikacina,D,"Existe evidencia de una captación selectiva de aminoglucósidos por el riñón fetal, lo que resulta en daño (probablemente reversible) a las nefronas inmaduras. También se ha reportado daño al octavo par craneal tras la exposición intrauterina a algunos aminoglucósidos. Debido a su similitud química, todos los aminoglucósidos deben considerarse potencialmente nefrotóxicos y ototóxicos para el feto. Cabe destacar que las concentraciones sanguíneas terapéuticas en la madre no implican seguridad para el feto.",Antimicrobianos,Antibióticos,Aminoglucósidos
amilorida,do,Los diuréticos ahorradores de potasio pueden provocar un trastorno electrolítico en el feto.,Sistema cardiovascular,Diuréticos,diuréticos ahorradores de potasio
ácido aminocaproico,B3,,Sistema cardiovascular,Agentes hemostáticos,
aminoglutetimida,D,Se han reportado casos de pseudohermafrodismo con el uso de este medicamento durante el embarazo.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,
aminoglutetimida,D,Se han reportado casos de pseudohermafrodismo con el uso de este medicamento durante el embarazo.,Sistema endocrino,Agentes hormonales,
ácido aminolevulínico HCl,do,,Agentes de diagnóstico,,
amiodarona,do,"Debido a la larga vida media de la amiodarona y su principal metabolito, y a su potencial para causar función tiroidea anormal y bradicardia en el feto, probablemente sea mejor evitar su uso durante los tres meses previos al embarazo y durante todo el mismo. Cuando la exposición del feto sea inevitable, se debe evaluar la función tiroidea (incluida la TSH) del recién nacido con prontitud.",Sistema cardiovascular,Antiarrítmicos,
amisulprida,do,"Se han reportado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos. La gravedad de estas complicaciones ha variado. Si bien en algunos casos los síntomas han remitido espontáneamente, en otros los neonatos han requerido apoyo en la unidad de cuidados intensivos y hospitalización prolongada. La amisulprida solo debe usarse durante el embarazo si el beneficio potencial justifica el riesgo potencial para el feto.",Sistema nervioso central,fármacos antipsicóticos,
amitriptilina,do,Se han reportado síntomas de abstinencia en recién nacidos con el uso materno prolongado de antidepresivos tricíclicos.,Sistema nervioso central,antidepresivos,antidepresivos tricíclicos
amivantamab,D," Se sabe que la IgG1 atraviesa la placenta. Por lo tanto, el amivantamab podría transmitirse de una paciente embarazada al feto en desarrollo. La administración de otras moléculas inhibidoras del EGFR o MET a animales gestantes ha provocado un aumento en la incidencia de deterioro del desarrollo embriofetal, embrioletalidad y aborto.",Agentes antineoplásicos,anticuerpos monoclonales,
amlodipino,do, Los bloqueadores de los canales de calcio tienen el potencial de producir hipoxia fetal asociada con hipotensión materna.,Sistema cardiovascular,Antihipertensivos,bloqueadores de los canales de calcio
amlodipino/atorvastatina,D,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada. La hiperlipidemia fisiológica del embarazo no requiere tratamiento.",Sistema cardiovascular,,
amlodipino/hidroclorotiazida/valsartán,D,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. Cuando se utilizan durante el segundo y tercer trimestre del embarazo, los fármacos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no utilizar ARA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo. Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados a este riesgo. Durante la última parte del embarazo, los productos de este tipo sólo deben administrarse bajo indicaciones sólidas y en la dosis efectiva más baja.",Sistema cardiovascular,,
amlodipino/olmesartán medoxomilo,D,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. Cuando se utilizan durante el segundo y tercer trimestre del embarazo, los fármacos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no utilizar ARA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,
amlodipino/olmesartán medoxomilo/hidroclorotiazida,D,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. Cuando se utilizan durante el segundo y tercer trimestre del embarazo, los fármacos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no utilizar ARA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo. Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados a este riesgo. Durante la última parte del embarazo, los productos de este tipo sólo deben administrarse bajo indicaciones sólidas y en la dosis efectiva más baja.",Sistema cardiovascular,,
amlodipino/telmisartán,D,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. Cuando se utilizan durante el segundo y tercer trimestre del embarazo, los fármacos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no utilizar ARA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,
amlodipino/valsartán,D,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. Cuando se utilizan durante el segundo y tercer trimestre del embarazo, los fármacos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no utilizar ARA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,
cloruro amónico,A,,Sistema respiratorio,Expectorantes y mucolíticos,
amobarbital,do,"Los barbitúricos pueden causar hipotensión, depresión respiratoria e hipotermia en el recién nacido. Debe evitarse el tratamiento continuo durante el embarazo y su administración durante el parto.",Sistema nervioso central,Hipnóticos y sedantes,Barbitúricos
amorolfina,B3,,Medicamentos utilizados en Dermatología,"Antifúngicos tópicos, antisépticos (ver también agentes antifúngicos)",
amoxicilina,A,,Antimicrobianos,Antibióticos,penicilinas
anfotericina,B3,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),
 anfotericina B (liposomal),B3,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),
ampicilina,A,,Antimicrobianos,Antibióticos,penicilinas
amprenavir,B3,,Antimicrobianos,agentes antivirales,
amsacrina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,
amilobarbital (amobarbital),do,"Los barbitúricos pueden causar hipotensión, depresión respiratoria e hipotermia en el recién nacido. Debe evitarse el tratamiento continuo durante el embarazo y su administración durante el parto.",Sistema nervioso central,Hipnóticos y sedantes,Barbitúricos
anagrelida,B3,,Agentes antineoplásicos,,
Anakinra,B1,,Alergia y sistema inmunológico,Inmunomodificadores,
anastrozol,do,Este medicamento altera el metabolismo dependiente de estrógenos y puede provocar aborto.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,
ancestros,B2,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
andexanet alfa,B2,,"Agentes desintoxicantes, antídotos",,
anecortave,B1,,Medicamentos oftálmicos,,
anidulafungina,B3,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),
anifrolumab,do,"En teoría, podría existir un mayor riesgo de ciertas infecciones virales en los bebés (humanos) expuestos a anifrolumab durante la última etapa del período gestacional.",Alergia y sistema inmunológico,Inmunomodificadores,
anistreplasa,do,,Sistema cardiovascular,agentes fibrinolíticos,
antitrombina III,do,,Sistema cardiovascular,Agentes hemostáticos,
inmunoglobulina antitimocítica,do,,Alergia y sistema inmunológico,Inmunomodificadores,
apalutamida,D,Por su mecanismo de acción puede producir daño fetal si se administra durante el embarazo.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,
apixabán,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,
apomorfina,B3,,Sistema nervioso central,Agentes antiparkinsonianos,
apraclonidina,B3,,Medicamentos oftálmicos,,
apremilast,B3,,Alergia y sistema inmunológico,Inmunomodificadores,
aprepitant,B1,,Agentes antineoplásicos,Terapia de apoyo no citotóxica,
aprotinina,B1,,Sistema cardiovascular,Agentes hemostáticos,
argipresina,B2,,Sistema endocrino,Antidiuréticos,
aripiprazol,do,"Se han reportado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos. La gravedad de estas complicaciones ha variado. Si bien en algunos casos los síntomas han remitido espontáneamente, en otros los neonatos han requerido apoyo en la unidad de cuidados intensivos y hospitalización prolongada. El aripiprazol solo debe usarse durante el embarazo si el beneficio potencial justifica el riesgo potencial para el feto.",Sistema nervioso central,fármacos antipsicóticos,
armodafinilo,D,Este medicamento es embriotóxico y fetotóxico cuando se administra a ratas y conejas preñadas.,Sistema nervioso central,estimulantes del sistema nervioso central,
trióxido de arsénico,incógnita,"En hámsteres, ratas y ratones, la administración parenteral de arsenito durante la organogénesis produjo malformaciones fetales, incluyendo defectos del tubo neural, oculares, faciales, genitourinarios y esqueléticos. El tratamiento con arsenito en ratones durante la gestación también ha producido una respuesta tumorígena generalizada en las crías.",Agentes antineoplásicos,,
artemeter con lumefantina,D," Se sabe que las artemisininas son embriotóxicas en animales, causando malformaciones cardiovasculares y esqueléticas. Según estudios en animales, se sospecha que el artemeter causa graves defectos congénitos cuando se administra durante el primer trimestre del embarazo.",Antimicrobianos,Antipalúdicos,
articaína,B3,,Medicamentos utilizados en anestesia,Anestésicos locales,
articaína / adrenalina,B3,,Medicamentos utilizados en anestesia,Anestésicos locales,
clorhidrato de asciminib,D,"El asciminib puede causar daño fetal si se administra a mujeres embarazadas. En ratas y conejas preñadas tratadas, la administración de asciminib durante la organogénesis indujo embriotoxicidad, fetotoxicidad y teratogenicidad.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
asenapina,do,"Se han reportado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos. La gravedad de estas complicaciones ha variado. Si bien en algunos casos los síntomas han remitido espontáneamente, en otros los neonatos han requerido apoyo en la unidad de cuidados intensivos y hospitalización prolongada. Asenapina solo debe usarse durante el embarazo si el beneficio potencial justifica el riesgo potencial para el feto.",Sistema nervioso central,fármacos antipsicóticos,
asfotasa alfa (rch),do,Existe un efecto potencial sobre el desarrollo óseo embriofetal y neonatal con la producción de anticuerpos contra la asfotasa alfa.,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
asparaginasa,D,"La citotoxicidad de la actividad de la asparaginasa supone un riesgo de aborto espontáneo, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,
aspirina,do,"La aspirina inhibe la síntesis de prostaglandinas. Administrada al final del embarazo, puede causar el cierre prematuro del conducto arterioso fetal y retrasar el parto. La aspirina aumenta el tiempo de sangrado tanto en el recién nacido como en la madre debido a sus efectos antiplaquetarios. Se deben evitar los productos que contienen aspirina durante el último trimestre. La aspirina en dosis bajas (100 mg/día) no afecta el tiempo de sangrado.",Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),
aspirina / dipiridamol,do,"La aspirina inhibe la síntesis de prostaglandinas. Administrada al final del embarazo, puede causar el cierre prematuro del conducto arterioso fetal y retrasar el parto. La aspirina aumenta el tiempo de sangrado tanto en el recién nacido como en la madre debido a sus efectos antiplaquetarios. Se deben evitar los productos que contienen aspirina durante el último trimestre. La aspirina en dosis bajas (100 mg/día) no afecta el tiempo de sangrado.",Sistema cardiovascular,Vasodilatadores,
asunaprevir,B1,,Antimicrobianos,agentes antivirales,
atazanavir,B2,,Antimicrobianos,agentes antivirales,
atazanavir/cobicistat,B2,,Antimicrobianos,agentes antivirales,
atenolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,
atezolizumab,D,"PD-1/PD-L1 interviene en la tolerancia fetomaterna. Su administración durante el embarazo puede causar daño fetal, incluyendo aborto o muerte fetal.",Agentes antineoplásicos,anticuerpos monoclonales,
atomoxetina,B3,,Sistema nervioso central,estimulantes del sistema nervioso central,
atorvastatina,D,"El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada. La hiperlipidemia fisiológica del embarazo no requiere tratamiento.",Sistema cardiovascular,Agentes hipolipidémicos,
atorvastatina/ezetimiba,D,"El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada. La hiperlipidemia fisiológica del embarazo no requiere tratamiento.",Sistema cardiovascular,Agentes hipolipidémicos,
atovacuona,B2,,Antimicrobianos,Antibióticos,
atracurio,do,No se han demostrado efectos adversos en el feto ni en el recién nacido.,Medicamentos utilizados en anestesia,Agentes bloqueadores neuromusculares,
atropina,A,,Sistema alimentario,Antiespasmódicos,
atropina,A,,Agentes colinérgicos y anticolinérgicos,,
metonitrato de atropina,B2,,Agentes colinérgicos y anticolinérgicos,,
auranofina,B3,,Sistema musculoesquelético,agentes antirreumatoides,
aurotioglucosa,B2,,Sistema musculoesquelético,agentes antirreumatoides,
avacopan,D,"La administración oral de avacopan a hámsteres preñados durante el período de organogénesis provocó una mayor incidencia de variaciones esqueléticas en ausencia de toxicidad materna, mientras que en conejos se observó un aumento en el número de abortos en exposiciones maternas subclínicas.",Alergia y sistema inmunológico,Inmunomodificadores,
avalglucosidasa alfa,B1,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
maleato de avatrombopag,B3,,Sangre y sistema hematopoyético,,
avelumab,D,"PD-1/PD-L1 interviene en la tolerancia fetomaterna. Su administración durante el embarazo puede causar daño fetal, incluyendo aborto o muerte fetal.",Agentes antineoplásicos,anticuerpos monoclonales,
 axicabtagene ciloleucel,do,"Según el mecanismo de acción, si las células transducidas atraviesan la placenta, pueden causar toxicidad fetal, incluida linfocitopenia de células B.",Agentes antineoplásicos,,
axitinib,D,La angiogénesis juega un papel clave en el desarrollo embriofetal. Los inhibidores del receptor VEGF inhiben la angiogénesis y pueden causar daño fetal cuando se administran a mujeres embarazadas.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
azacitidina,incógnita,"La azacitidina no debe utilizarse durante el embarazo. No existen datos suficientes sobre su uso en mujeres embarazadas. Estudios en animales han mostrado toxicidad reproductiva, incluyendo efectos teratogénicos a dosis relativamente bajas. La azacitidina también presentó efectos adversos en el desarrollo embriofetal tras el tratamiento en ratas macho.",Agentes antineoplásicos,Antimetabolitos,
azatadina,B2,,Alergia y sistema inmunológico,Antihistamínicos,
azatioprina,D,"Este medicamento se ha asociado con un riesgo ligeramente mayor de malformaciones fetales, inmunosupresión neonatal y supresión de la médula ósea en el bebé.",Alergia y sistema inmunológico,Inmunomodificadores,
ácido azelaico,B1,,Medicamentos utilizados en Dermatología,Actual,
azelastina,B3,,Alergia y sistema inmunológico,Antihistamínicos,
clorhidrato de azelastina/propionato de fluticasona,B3,,Alergia y sistema inmunológico,,
azitromicina,B1,,Antimicrobianos,Antibióticos,antibióticos macrólidos
azlocilina,B3,,Antimicrobianos,Antibióticos,penicilinas
aztreonam,B1,,Antimicrobianos,Antibióticos,
baclofeno,B3,,Sistema musculoesquelético,relajantes musculares,
baloxavir,B3,,Antimicrobianos,agentes antivirales,
balsalazida,do,"Los antiinflamatorios no esteroideos inhiben la síntesis de prostaglandinas y, al administrarse durante la última etapa del embarazo, pueden causar el cierre del conducto arterioso fetal, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con antiinflamatorios no esteroideos durante el último trimestre del embarazo solo debe administrarse bajo indicación médica. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema alimentario,Antidiarreicos,
baricitinib,D,"Según su mecanismo de acción, se sospecha que el baricitinib afecta el desarrollo embrionario temprano cuando se administra durante el embarazo. Se ha demostrado que el baricitinib causa letalidad embriofetal y malformaciones fetales en ratas o conejas preñadas.",Sistema musculoesquelético,agentes antirreumatoides,
basiliximab,D, Este medicamento tiene efectos farmacológicos potencialmente peligrosos debido a su acción inmunosupresora.,Alergia y sistema inmunológico,Inmunomodificadores,
BCG (Mycobacterium bovis),B2,,Vacunas,Vacunas vivas atenuadas,
becaplermina,B2,,Medicamentos utilizados en Dermatología,Actual,
beclometasona,B3,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema endocrino,Corticosteroides,Inhalación/intranasal
beclometasona,B3,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema respiratorio,Agentes inhalatorios,Aerosoles e inhalaciones preventivas
belatacept,do,,Alergia y sistema inmunológico,Inmunomodificadores,
belimumab,do,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria. Este fármaco tiene el potencial de afectar la supervivencia embriofetal debido a su acción farmacológica.,Alergia y sistema inmunológico,Inmunomodificadores,
belladona,B2,,Agentes colinérgicos y anticolinérgicos,,
